_id,KODEA/CODIGO,UDALERRIA/MUNICIPIO,EKITALDIA /EJERCICIO,HILABETE/MES,DATUAK ERAUZI EGUNA/FECHA EXTRACCION,ARLO FUNTZIONALA/AREA FUNCIONAL,AZALERA (KM2)/EXTENSION (KM2),BIZTANLE ERROLDA/HABITANTES CENSO,JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2),JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2),JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2),JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2),BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2),BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2),BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2),BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2),HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE,HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO,HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC,BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB,LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE,LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO,LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC,BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ,NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR,BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
1132,=004,AMOROTO,2025,12,2026-05-07 22:23:07,Gernika-Markina,13,380,"35374,080000000002","7099,7399999999998",0,0,"61916,279999999999","14042,6",0,0,27,0,18,20,0,0,0,0,19,10
1133,=005,ARAKALDO,2025,12,2026-05-07 22:23:07,Llodio,2,170,"70786,130000000005","8745,9599999999991",0,0,"65005,18","15087,440000000001",0,0,0,0,0,23,0,0,0,0,0,0
1134,=006,ARANTZAZU,2025,12,2026-05-07 22:23:07,Igorre,3,434,"3769,9200000000001",0,"27302,779999999999","27302,779999999999","88888,050000000003","15951,889999999999",0,0,45,0,25,13,0,0,0,0,23,13
1135,=007,MUNITIBAR-ARBATZEGI GERRIKAITZ,2025,12,2026-05-07 22:23:07,Gernika-Markina,24,466,0,0,0,0,"59981,660000000003","951,35000000000002",26925,26925,11,0,0,11,0,0,0,29,0,0
1136,=008,ARTZENTALES,2025,12,2026-05-07 22:23:07,Balmaseda-Zalla,36,746,0,0,0,0,"116116,63","18452,130000000001","30077,220000000001","30077,220000000001",37,0,0,37,65,0,0,65,18,0
1137,=009,ARRANKUDIAGA-ZOLLO,2025,12,2026-05-07 22:23:07,Bilbao Metropolitano,22,1043,"138241,17000000001",0,60657,46657,"364936,65000000002","96734,020000000004","21510,330000000002","21510,330000000002",192,0,19,199,15,0,0,15,12,0
1138,=010,ARRIETA,2025,12,2026-05-07 22:23:07,Mungia,14,575,0,0,0,0,"46883,260000000002","11378,9","37851,790000000001","37851,790000000001",18,0,0,12,73,0,22,95,10,1
1139,=011,ARRIGORRIAGA,2025,12,2026-05-07 22:23:07,Bilbao Metropolitano,16,11680,"591729,09999999998","61238,870000000003","190237,07999999999",0,"555360,71999999997","49310,330000000002","49682,449999999997","47695,139999999999",470,136,9,560,35,65,0,96,0,0
1140,=012,BAKIO,2025,12,2026-05-07 22:23:07,Mungia,16,2868,"34375,220000000001",0,26362,26362,"618951,5","59427,010000000002","1152867,3600000001","1007912,58",320,0,0,136,1238,104,60,1084,10,1
1141,=013,BARAKALDO,2025,12,2026-05-07 22:23:07,Bilbao Metropolitano,24,100200,"922375,25","165893,48999999999","391296,35999999999","25667,049999999999","2650155,9700000002","119702,91",312231,"29827,950000000001",8876,1932,401,3701,522,564,0,128,0,0
