_id,KODEA/CODIGO,UDALERRIA/MUNICIPIO,EKITALDIA /EJERCICIO,HILABETE/MES,DATUAK ERAUZI EGUNA/FECHA EXTRACCION,ARLO FUNTZIONALA/AREA FUNCIONAL,AZALERA (KM2)/EXTENSION (KM2),BIZTANLE ERROLDA/HABITANTES CENSO,JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2),JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2),JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2),JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2),BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2),BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2),BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2),BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2),HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE,HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO,HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC,BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB,LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE,LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO,LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC,BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ,NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR,BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
834,=050,IZURTZA,2021,6,2021-07-20 08:00:01,Durango,4,261,"95455,01999999999",0,90565,"80408,479999999996","43442,550000000003","10954,85",22205,22205,44,15,0,45,14,0,0,14,0,0
836,=052,LARRABETZU,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,22,1980,"167336,51999999999","5615,6800000000003",0,0,"159714,29999999999","18355,560000000001",0,0,221,32,0,194,0,0,0,0,0,0
837,=053,LAUKIZ,2021,6,2021-07-20 08:00:01,Mungia,8,1154,0,0,0,0,"495806,45000000001","33180,25","99813,619999999995","92015,679999999993",104,0,0,47,64,0,0,59,45,10
838,=054,LEIOA,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,8,30447,"701162,73999999987","287583,21999999997","587974,90000000002","332532,90000000002","1574337,3500000001","148737,92999999999","614830,77000000002","253429,32000000001",2101,749,375,918,1864,1272,0,817,0,0
839,=055,LEMOA,2021,6,2021-07-20 08:00:01,Igorre,15,3468,"440377,40999999997","40888,07","139958,85000000001","139958,85000000001","362021,10000000003","131668,26000000001","112104,72","108262,48",739,0,0,464,414,68,0,462,138,50
840,=056,LEMOIZ,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,19,1081,"404902,82000000001",0,25216,25216,"383806,83000000002","115591,99000000001","157165,28",101766,215,0,54,145,216,0,72,188,0,0
841,=057,LEKEITIO,2021,6,2021-07-20 08:00:01,Gernika-Markina,2,7408,"5208,29","202,00999999999999",31537,31537,"496718,98000000004","75724,649999999994",90180,70500,738,261,16,528,142,128,0,142,0,0
842,=058,MALLABIA,2021,6,2021-07-20 08:00:01,Eibar,23,1186,"324190,48999999999",0,"195864,42000000001","58093,449999999997","42636,800000000003","6703,6899999999996",40000,"23636,360000000001",30,60,68,76,85,0,0,52,142,31
843,=059,MAÃARIA,2021,6,2021-07-20 08:00:01,Durango,18,514,"11319,92",0,"40725,349999999999","40725,349999999999","69043,039999999994",16891,"14448,52","14448,52",71,0,0,38,21,0,0,21,51,19
844,=060,MARKINA-XEMEIN,2021,6,2021-07-20 08:00:01,Gernika-Markina,45,4906,"108215,84","7576,3900000000003",96180,0,"273828,17999999999",21411,"141173,59","139375,45000000001",708,0,0,170,81,0,0,80,0,0
845,=061,MARURI-JATABE,2021,6,2021-07-20 08:00:01,Mungia,16,958,0,0,75082,"10508,83","153877,32000000001","16508,299999999999",163319,"123310,03999999999",58,0,0,23,224,0,0,112,38,7
846,=062,MENDATA,2021,6,2021-07-20 08:00:01,Gernika-Markina,23,386,0,0,0,0,"80581,710000000006",27751,0,0,35,0,22,35,0,0,0,0,154,56
847,=063,MENDEXA,2021,6,2021-07-20 08:00:01,Gernika-Markina,7,457,"771,69000000000005",0,0,0,"89606,970000000001","16289,719999999999","47612,25","47612,25",80,8,0,13,68,0,30,98,57,14
734,=062,MENDATA,2021,3,2021-04-20 08:00:01,Gernika-Markina,23,386,0,0,0,0,"80581,710000000006",27751,0,0,35,0,22,35,0,0,0,0,154,56
848,=064,MEÃAKA,2021,6,2021-07-20 08:00:01,Mungia,12,734,"3781,6999999999998","1828,47",0,0,"48910,600000000006","5941,6000000000004","20677,75","20677,75",17,0,0,15,54,0,15,69,70,12
849,=065,UGAO-MIRABALLES,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,5,4046,"172377,69",0,0,0,"165787,29000000001","20797,689999999999",63170,30070,414,11,38,250,70,60,54,70,15,2
850,=066,MORGA,2021,6,2021-07-20 08:00:01,Gernika-Markina,14,405,5594,"310,37",0,0,"91961,699999999997",28140,0,0,50,0,4,49,0,0,0,0,62,15
851,=067,MUXIKA,2021,6,2021-07-20 08:00:01,Gernika-Markina,50,1459,"72648,350000000006",0,"794914,77000000002","694230,78000000003","52413,300000000003",7700,"93618,479999999996","56992,949999999997",21,0,0,14,136,0,0,69,345,47
852,=068,MUNDAKA,2021,6,2021-07-20 08:00:01,Gernika-Markina,4,1924,"125048,55","738,88999999999999",0,0,"130545,31","18997,689999999999",0,0,164,0,68,163,0,0,0,0,0,0
853,=069,MUNGIA,2021,6,2021-07-20 08:00:01,Mungia,44,16774,"726272,42000000004","226871,84","756516,39000000001","506162,54999999999","3772150,3600000003","62719,610000000001","929217,05000000005","432423,85999999999",1184,142,0,508,913,1674,112,1754,673,142
854,=070,AULESTI,2021,6,2021-07-20 08:00:01,Gernika-Markina,26,666,"10607,700000000001",568,0,0,"59996,120000000003","9686,3400000000001",0,0,91,0,0,90,0,0,0,0,89,19
855,=071,MUSKIZ,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,21,7449,"1668797,7",0,"144252,38","96404,369999999995","566028,55999999994","63453,400000000001","129054,28","20559,689999999999",555,835,0,283,108,0,0,16,40,10
856,=072,OTXANDIO,2021,6,2021-07-20 08:00:01,Ãlava Central,12,1298,"81888,5","39143,93","97453,449999999997","67883,990000000005","210788,30000000002","40577,580000000002","9864,5900000000001","9864,5900000000001",93,0,87,171,20,20,20,60,38,12
857,=073,ONDARROA,2021,6,2021-07-20 08:00:01,Gernika-Markina,4,8794,"135715,01000000001","76937,429999999993",0,0,"243859,34999999998","10259,969999999999",0,0,504,96,0,100,0,0,0,0,16,3
858,=074,URDUÃA/ORDUÃA,2021,6,2021-07-20 08:00:01,Llodio,33,4205,"195418,04000000001","55391,800000000003",287245,"272197,84000000003","785652,19000000006","239657,16","393869,45000000001","386439,71000000002",475,0,0,425,234,0,0,226,0,0
859,=075,OROZKO,2021,6,2021-07-20 08:00:01,Llodio,102,2552,"68626,979999999996",0,"110305,95","40704,489999999998","402651,59000000003","66552,800000000003",196144,"169453,28",229,0,0,95,382,110,0,369,344,107
860,=076,SUKARRIETA,2021,6,2021-07-20 08:00:01,Gernika-Markina,2,339,0,0,0,0,"128897,08","38759,5",36705,"27006,220000000001",158,0,0,110,35,0,0,26,0,0
861,=077,PLENTZIA,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,6,4407,"504,80000000000001","912,5",0,0,"295107,66000000003","9773,5400000000009",771300,"37576,150000000001",397,38,98,119,390,0,0,19,0,0
862,=078,PORTUGALETE,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,3,47631,"111543,29000000001",0,147930,117164,"1028653,5600000001","94306,809999999998",108774,58863,592,303,115,835,233,549,99,495,0,0
863,=079,ERRIGOITI,2021,6,2021-07-20 08:00:01,Gernika-Markina,17,534,"1068,6400000000001",0,62336,62336,"108744,29999999999","39239,870000000003","27479,84","27479,84",35,0,0,25,46,0,0,46,49,4
864,=080,VALLE DE TRAPAGA-TRAPAGARAN,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,13,12126,"1311267,98","680761,97999999998","323654,23999999999","310853,23999999999","525480,02000000002","95038,5","110409,3","110409,3",878,268,123,843,0,430,138,568,0,0
865,=081,LEZAMA,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,16,2446,0,0,259596,"201722,94","103861,83","15779,25","57904,790000000001","13205,1",294,100,0,0,72,0,0,16,17,3
866,=082,SANTURTZI,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,8,46948,"183897,92999999999","7318,7399999999998","68094,720000000001","68094,720000000001","1212523,8800000001","821215,06000000006","294187,96999999997","180888,25",4863,923,402,1481,526,1305,420,1503,0,0
867,=083,ORTUELLA,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,8,8417,"147454,60000000001","59413,720000000001","898757,35999999999","507481,34000000003","541780,47999999998","96963,229999999996","124905,96000000001","18971,470000000001",321,50,76,234,0,632,0,98,0,0
868,=084,SESTAO,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,4,28548,"1422068,5700000001","797909,92000000004","62795,360000000001","62795,360000000001","790681,33000000007","92523,639999999999",0,0,686,693,578,1259,0,0,0,0,0,0
869,=085,SOPELA,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,8,12191,"113650,27",24500,0,0,"963671,27000000002","57332,519999999997","1023702,9","625488,63",1234,62,0,171,1901,1228,0,2208,0,0
870,=086,SOPUERTA,2021,6,2021-07-20 08:00:01,Balmaseda-Zalla,42,2575,"61794,589999999997","39459,269999999997",0,0,"401017,23999999999","60174,139999999999","297262,19","243828,32000000001",161,0,0,112,510,72,0,442,189,41
871,=087,TRUCIOS-TURTZIOZ,2021,6,2021-07-20 08:00:01,Balmaseda-Zalla,31,545,0,0,30079,"24065,869999999999","155847,64000000001","39897,519999999997",54878,28991,39,0,0,20,20,0,32,20,117,30
873,=089,URDULIZ,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,8,3630,"225664,79000000001","33873,68",32498,"28370,93","357962,15000000002","52621,550000000003","302005,40000000002","214266,98999999999",1036,0,48,397,1345,438,53,1276,0,0
874,=090,BALMASEDA,2021,6,2021-07-20 08:00:01,Balmaseda-Zalla,22,7672,"104147,09",18350,"217755,57999999999","193705,69","445518,12","119697,33","103204,87","103204,87",1315,248,0,978,200,389,40,629,32,13
875,=091,ATXONDO,2021,6,2021-07-20 08:00:01,Durango,23,1421,"217474,67999999999",47774,66706,"66004,75","119369,01000000001","39272,559999999998",0,0,203,0,0,126,0,0,0,0,89,15
876,=092,BEDIA,2021,6,2021-07-20 08:00:01,Igorre,16,976,"194493,85000000001",94225,0,0,"52919,669999999998","25239,330000000002",60520,23994,111,16,36,72,80,0,0,27,113,24
877,=093,AREATZA,2021,6,2021-07-20 08:00:01,Igorre,9,1218,0,0,72500,72500,"69557,070000000007","16190,139999999999","57902,629999999997","9884,5400000000009",177,0,0,133,58,45,0,12,12,5
878,=094,IGORRE,2021,6,2021-07-20 08:00:01,Igorre,17,4185,"326716,32999999996","112519,17","101635,42","42080,93","174555,72999999998","30386,349999999999","204812,45000000001","103697,00999999999",271,0,0,106,506,30,35,422,83,14
