KODEA/CODIGO;UDALERRIA/MUNICIPIO;EKITALDIA /EJERCICIO;HILABETE/MES;DATUAK ERAUZI EGUNA/FECHA EXTRACCION;ARLO FUNTZIONALA/AREA FUNCIONAL;AZALERA (KM2)/EXTENSION (KM2);BIZTANLE ERROLDA/HABITANTES CENSO;JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2);JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2);JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2);JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2);BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2);BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2);BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2);BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2);HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE;HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO;HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC ;BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB;LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE;LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO;LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC ;BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ;NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR;BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
"=095";ZALDIBAR;2024;4;2024-05-07T17:00:32Z;Durango;11;3041;147154,45000000001;5556356,8099999996;0;2875,3200000000002;196850,01999999999;37566,050000000003;0;0;106;104;101;198;0;0;0;0;9;0
"=096";ZALLA;2024;4;2024-05-07T17:00:32Z;Balmaseda-Zalla;31;8379;194124,89000000001;16786,669999999998;187247,70999999999;170990,10000000001;540620,06999999995;38341,559999999998;218805,14999999999;139009,84;564;116;0;163;232;214;0;245;168;20
"=097";ZARATAMO;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;10;1662;274190,71999999997;57039;14949;24855,549999999999;185893,85000000001;29215;68909,399999999994;67582,279999999999;77;0;21;95;77;25;68;167;21;0
"=901";DERIO;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;10;5934;901150,57999999996;4109;349474,67999999999;129119,35000000001;310420,09000000003;0;1903992,95;1698949,8;273;264;0;0;1146;545;503;1497;0;0
"=902";ERANDIO;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;18;24175;1090722,21;103026,48;858652,29000000004;766236,27000000002;685725,93999999994;103314,3;319710,92999999999;230762,70000000001;1953;298;410;1075;494;908;0;628;184;66
"=903";LOIU;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;15;2424;383230,89000000001;61403;300853;300853;202148,04000000001;9371;335825,67999999999;286186,09999999998;77;0;0;77;762;404;0;962;0;0
"=904";SONDIKA;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;6;4494;441344,88;33726,790000000001;0;0;531125,06999999995;25973,73;0;32187;271;44;73;253;0;0;0;314;11;3
"=905";ZAMUDIO;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;18;3214;2185788,1800000002;147926,34;815266,27000000002;704810,28000000003;185032,92000000001;13542;70159,729999999996;64425,730000000003;229;0;0;103;208;41;167;382;11;3
"=906";FORUA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;7;972;17965,970000000001;0;0;0;121043,08;6007,5;0;0;91;8;0;5;0;0;0;0;71;7
"=907";KORTEZUBI;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;11;424;0;0;0;0;27946,939999999999;3460;0;0;39;0;0;6;0;0;0;0;77;19
"=908";MURUETA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;5;287;42966,110000000001;0;0;0;129971,31;9920;32150,220000000001;32150,220000000001;10;26;4;10;10;90;0;100;0;0
"=909";NABARNIZ;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;11;229;4707,7299999999996;215,56;2398;2398;27300,889999999999;7303,71;0;0;0;0;0;32;0;0;0;0;82;10
"=910";IURRETA;2024;4;2024-05-07T17:00:32Z;Durango;18;3829;533625,45999999996;68793,889999999999;342242,17999999999;42474,190000000002;103514,55;13235,200000000001;125674,69;123757,37;367;0;0;164;369;61;0;428;54;12
"=911";AJANGIZ;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;7;450;80848,429999999993;19635,360000000001;0;0;33133,190000000002;9306;0;0;22;0;10;32;0;0;0;0;43;8
"=912";ALONSOTEGI;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;20;2861;182392,38;0;35570;83240;225013,47;56697,339999999997;35806;2950,3800000000001;531;62;0;285;0;0;0;0;52;19
"=913";ZIERBENA;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;12;1460;60932,260000000002;0;0;0;489541,52000000002;151758,85999999999;268198;288695,41999999998;206;0;8;207;209;70;0;176;0;0
"=914";ARRATZU;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;10;382;0;0;0;0;24481,610000000001;2065,0300000000002;6442,5799999999999;6442,5799999999999;5;0;0;5;10;0;5;15;63;10
"=915";ZIORTZA-BOLIBAR;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;18;447;11875,23;0;0;0;39046,75;9432,5;32981;32981;33;0;0;33;52;0;0;52;69;25
