KODEA/CODIGO;UDALERRIA/MUNICIPIO;EKITALDIA /EJERCICIO;HILABETE/MES;DATUAK ERAUZI EGUNA/FECHA EXTRACCION;ARLO FUNTZIONALA/AREA FUNCIONAL;AZALERA (KM2)/EXTENSION (KM2);BIZTANLE ERROLDA/HABITANTES CENSO;JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2);JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2);JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2);JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2);BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2);BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2);BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2);BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2);HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE;HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO;HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC ;BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB;LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE;LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO;LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC ;BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ;NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR;BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
"=041";GAUTEGIZ ARTEAGA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;13;905;0;0;0;0;445282,46999999997;93890,970000000001;0;0;124;22;63;124;0;0;0;0;35;12
"=042";GORDEXOLA;2024;4;2024-05-07T17:00:32Z;Balmaseda-Zalla;41;1601;0;0;72096,610000000001;0;143962,41;18673;116887,89;29684,349999999999;107;15;0;69;230;8;0;57;220;80
"=043";GORLIZ;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;10;5512;0;0;33041,629999999997;0;907493,01000000001;161954,98999999999;463493,65000000002;225526,07000000001;763;0;0;209;811;42;72;520;0;0
"=044";GETXO;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;11;79815;42942,209999999999;11039,040000000001;0;0;4701018,25;190013,16;1567471;1567471;1691;775;311;1070;1568;605;0;2173;0;0
"=045";GUEÑES;2024;4;2024-05-07T17:00:32Z;Balmaseda-Zalla;41;6431;214561,70999999999;7532;422028;422028;775258,73999999999;98597,440000000002;166781,34;173708,34;667;45;122;438;369;0;128;480;0;0
"=046";GERNIKA-LUMO;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;8;16556;567116,82999999996;108744,46000000001;0;0;900432,39000000001;40429,480000000003;63060;71402,889999999999;203;14;0;189;53;99;0;152;0;0
"=047";GIZABURUAGA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;6;205;31365,900000000001;0;28747,040000000001;0;17678,91;7698,7700000000004;0;0;0;0;0;12;0;0;0;0;16;3
"=048";IBARRANGELU;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;14;637;0;0;0;0;210071,16;35524;0;0;0;0;0;71;0;0;0;0;123;15
"=049";ISPASTER;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;22;700;113767,34;54540,760000000002;0;0;70277,100000000006;23363;12923,33;0;58;0;0;52;0;0;0;0;45;12
"=050";IZURTZA;2024;4;2024-05-07T17:00:32Z;Durango;4;261;95455,020000000004;0;90565;80408,440000000002;43442,540000000001;10954,35;22205;22205;0;15;0;45;0;0;0;14;0;0
