SOZIETATEA_EU/SOCIEDAD_EU;SOZIETATEA_CAS/SOCIEDAD_CAS;EKITALDIA/EJERCICIO;HILABETERA ARTE/MES HASTA;ADJUDIKAZIODUNA/PERSONA ADJUDICATARIA;HELBURUA_EUS/OBJETO_EUS;HELBURUA_CAS/OBJETO_CAS;ADMINISTRARIA/ADMINISTRATIVO;ADMINISTRARIAREN DESKRIBAPENA/ADMINISTRATIVO DESCRIPCION;KONTABILITATE-ESPEDIENTEA/EXPEDIENTE CONTABLE;KONTABILITATE-ESPEDIENTEAREN DESKR./EXPEDIENTE CONTABLE DESCR.;ADJUDIKAZIO-METODOA/METODO ADJUDICACION;ADJUDIKAZIO-METODOA DESKR./METODO ADJUDICACION DESCR.;JARDUKETA/ACTUACION;JARDUKETA DESKRIBAPENA/ACTUACION DESCRIPCION;ADMIN. EREDUA/MODELO ADMIN;ADMIN. EREDUAREN DESKRIBAPENA/MODELO ADMIN DESCRIPCION;XEDAPENA/DISPOSICION;BETEBEHARRA/OBLIGACION;
BFA;DFB;2025;009;47 SEGUNDOS PRODUCCIONES SL;PUBLIZITATEA ETA PROPAGANDA;PUBLICIDAD Y PROPAGANDA;ADMIN20240300001319;SGCM 2025/2026  SERVICIO PUBLICIDAD PROY HENKO NET;CONT220250200007851;SGCM (D 25/26) CONTRATO DE PUBLICIDAD PROY HENKO NET;="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;6134,70;0,00;
BFA;DFB;2025;009;47 SEGUNDOS PRODUCCIONES SL;PUBLIZITATEA ETA PROPAGANDA;PUBLICIDAD Y PROPAGANDA;ADMIN20240300001319;SGCM 2025/2026  SERVICIO PUBLICIDAD PROY HENKO NET;CONT220250200022710;SGCM-2025/06/30-CT PUBLICIDAD HENKO NET (2025-26);="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;0,00;511,23;
BFA;DFB;2025;009;47 SEGUNDOS PRODUCCIONES SL;PUBLIZITATEA ETA PROPAGANDA;PUBLICIDAD Y PROPAGANDA;ADMIN20240300001319;SGCM 2025/2026  SERVICIO PUBLICIDAD PROY HENKO NET;CONT220250200026436;SGCM-2025/07/12-CT PUBLICIDAD HENKO NET (2025-26);="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;0,00;511,23;
BFA;DFB;2025;009;47 SEGUNDOS PRODUCCIONES SL;PUBLIZITATEA ETA PROPAGANDA;PUBLICIDAD Y PROPAGANDA;ADMIN20240300001319;SGCM 2025/2026  SERVICIO PUBLICIDAD PROY HENKO NET;CONT220250200028218;SGCM-2025/08/11-CT PUBLICIDAD HENKO NET (2025-26);="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;0,00;511,23;
BFA;DFB;2025;009;47 SEGUNDOS PRODUCCIONES SL;PUBLIZITATEA ETA PROPAGANDA;PUBLICIDAD Y PROPAGANDA;ADMIN20240300001319;SGCM 2025/2026  SERVICIO PUBLICIDAD PROY HENKO NET;CONT220250200032019;SGCM-2025/09/19-CT PUBLICIDAD HENKO NET (2025-26);="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;0,00;511,23;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200006369;SGCT-2025/02/28-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;359,04;359,04;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200008541;SGCT-2025/01/29-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;179,16;179,16;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200009970;SGCT-2025/03/31-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;308,63;308,63;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200013161;SGCT-2025/04/29-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;210,89;210,89;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200024286;SGCT-2025/05/30-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;285,64;285,64;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200025113;SGCT-2025/06/30-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;395,42;395,42;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200026890;SGCT-2025/07/29-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;206,32;206,32;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220220200034345;IGCM (D 22/23) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;66898,88;0,00;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200004391;IGCM-2025/02/07-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200007278;IGCM-2025/03/10-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200011109;IGCM-2025/04/07-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200020722;IGCM-2025/06/17-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200020725;IGCM-2025/06/17-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200022628;IGCM-2025/07/07-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200028627;IGCM-2025/08/01-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200030450;IGCM-2025/09/04-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001268;SERVICIO TRANSPORTE OBJETOS DOCUMENTACIÓN VALIJA 2021-2025;CONT220200200038542;RUTA SPEIS -LOTE 2- SERVICIO DE RUTAS;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;30201,60;0,00;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001268;SERVICIO TRANSPORTE OBJETOS DOCUMENTACIÓN VALIJA 2021-2025;CONT220250200003743;AERO FERR NORTE: RUTA PLANIFICADA SPEIS ENERO 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2516,80;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001268;SERVICIO TRANSPORTE OBJETOS DOCUMENTACIÓN VALIJA 2021-2025;CONT220250200008520;AERO FERR NORTE: RUTA PLANIFICADA SPEIS FEBRERO 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2516,80;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001268;SERVICIO TRANSPORTE OBJETOS DOCUMENTACIÓN VALIJA 2021-2025;CONT220250200011769;AERO FERR NORTE: RUTA PLANIFICADA SPEIS MARZO 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2516,80;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001268;SERVICIO TRANSPORTE OBJETOS DOCUMENTACIÓN VALIJA 2021-2025;CONT220250200016332;AERO FERR NORTE: RUTA PLANIFICADA SPEIS ABRIL 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2516,80;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001268;SERVICIO TRANSPORTE OBJETOS DOCUMENTACIÓN VALIJA 2021-2025;CONT220250200020875;AERO FERR NORTE: RUTA PLANIFICADA SPEIS MAYO 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2516,80;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001268;SERVICIO TRANSPORTE OBJETOS DOCUMENTACIÓN VALIJA 2021-2025;CONT220250200025840;AERO FERR NORTE: RUTA PLANIFICADA SPEIS JUNIO 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2516,80;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001268;SERVICIO TRANSPORTE OBJETOS DOCUMENTACIÓN VALIJA 2021-2025;CONT220250200029200;AERO FERR NORTE: RUTA PLANIFICADA DIPUTACIÓN - SPEIS JULIO 2;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2516,80;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001268;SERVICIO TRANSPORTE OBJETOS DOCUMENTACIÓN VALIJA 2021-2025;CONT220250200031885;AERO-FERR: SERVICIO DE RUTAS SPEIS AGOSTO;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2516,80;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220200200038636;RUTA INTERDEPARTAMENTAL A -LOTE 2- SERVICIO DE RUTAS;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;62823,20;0,00;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220200200038640;RUTA INTERDEPARTAMENTAL B LOTE 2- SERVICIO DE RUTAS;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;62823,20;0,00;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220200200038645;RUTA CONSERJERIA - LOTE 2- SERVICIO DE RUTAS;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;33275,00;0,00;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200003518;RUTA CONSERJERIA - LOTE 2- SERVICIO DE RUTAS_ENERO 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2772,92;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200003649;RUTA INTERDEPARTAMENTAL A -LOTE 2- SERVICIO DE RUTAS_ENERO 2;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200003653;RUTA INTERDEPARTAMENTAL B LOTE 2- SERVICIO DE RUTAS_ENERO 20;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200007970;RUTA INTERDEPARTAMENTAL A -LOTE 2- SERVICIO DE RUTAS-FEBRERO;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200007971;RUTA INTERDEPARTAMENTAL A -LOTE 2- SERVICIO DE RUTAS-FEBRERO;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200007976;RUTA CONSERJERIA - LOTE 2- SERVICIO DE RUTAS- FEBRERO 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2772,92;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200011553;RUTA CONSERJERIA - LOTE 2- SERVICIO DE RUTAS-;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2772,92;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200011555;RUTA INTERDEPARTAMENTAL A -LOTE 2- SERVICIO DE RUTAS-MARZO 2;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200011556;RUTA INTERDEPARTAMENTAL B LOTE 2- SERVICIO DE RUTAS-MARZO  2;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200015663;RUTA CONSERJERIA - LOTE 2- SERVICIO DE RUTAS- abril 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2772,92;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200015758;RUTA INTERDEPARTAMENTAL B LOTE 2- SERVICIO DE RUTAS (abril);="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200015767;RUTA INTERDEPARTAMENTAL A -LOTE 2- SERVICIO DE RUTAS-ABRIL;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200020262;RUTA CONSERJERIA - LOTE 2- SERVICIO DE RUTAS-mayo 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2772,92;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200020275;RUTA INTERDEPARTAMENTAL A -LOTE 2- SERVICIO DE RUTAS-;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200020281;RUTA INTERDEPARTAMENTAL B LOTE 2- SERVICIO DE RUTAS;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200025844;RUTA CONSERJERIA - LOTE 2- SERVICIO DE RUTAS-junio 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2772,92;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200025848;RUTA INTERDEPARTAMENTAL A -LOTE 2- SERVICIO DE RUTAS-JUNIO 2;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200025849;RUTA INTERDEPARTAMENTAL B LOTE 2- SERVICIO DE RUTAS-JUNIO 20;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200029908;RUTA INTERDEPARTAMENTAL A -LOTE 2- SERVICIO DE RUTAS-JULIO 2;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200029928;RUTA INTERDEPARTAMENTAL B LOTE 2- SERVICIO DE RUTAS-JULIO 20;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200029929;RUTA CONSERJERIA - LOTE 2- SERVICIO DE RUTAS-JULIO 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2772,92;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200031919;RUTA CONSERJERIA - LOTE 2- SERVICIO DE RUTAS-AGOSTO 2025;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;2772,92;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200031922;RUTA INTERDEPARTAMENTAL A -LOTE 2- SERVICIO DE RUTAS-AGOSTO;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001271;LOTE 2- SERVICIO DE RUTAS;CONT220250200031926;RUTA INTERDEPARTAMENTAL B LOTE 2- SERVICIO DE RUTAS-AGOSTO 2;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;0,00;5235,27;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001277;TRANSPORTE DE OBJETOS, DOCUMENT., VALIJA D.F.B. 2021-2025 (L;CONT220200200038309;TRANSPORTE DE OBJETOS, DOCUMENT., VALIJA D.F.B. 2021-2025 (L;="12";DERIV. ACUERDO MARCO;="01";INICIAL;CT12;Servicios Centralizados;19965,00;0,00;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001277;TRANSPORTE DE OBJETOS, DOCUMENT., VALIJA D.F.B. 2021-2025 (L;CONT220250200003437;AERO FERR NORTE. RUTA PLANIFICADA ENERO 2025;="12";DERIV. ACUERDO MARCO;="01";INICIAL;CT12;Servicios Centralizados;0,00;1663,75;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001277;TRANSPORTE DE OBJETOS, DOCUMENT., VALIJA D.F.B. 2021-2025 (L;CONT220250200007930;AERO-FERR NORTE. Ruta planificada febrero 2025;="12";DERIV. ACUERDO MARCO;="01";INICIAL;CT12;Servicios Centralizados;0,00;1663,75;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001277;TRANSPORTE DE OBJETOS, DOCUMENT., VALIJA D.F.B. 2021-2025 (L;CONT220250200011496;AERO-FERR NORTE. Ruta planificada marzo 2025;="12";DERIV. ACUERDO MARCO;="01";INICIAL;CT12;Servicios Centralizados;0,00;1663,75;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001277;TRANSPORTE DE OBJETOS, DOCUMENT., VALIJA D.F.B. 2021-2025 (L;CONT220250200015607;AERO-FERR NORTE. Ruta planificada abril 2025;="12";DERIV. ACUERDO MARCO;="01";INICIAL;CT12;Servicios Centralizados;0,00;1663,75;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001277;TRANSPORTE DE OBJETOS, DOCUMENT., VALIJA D.F.B. 2021-2025 (L;CONT220250200020360;AERO FERR NORTE. Ruta planificada Mayo 2025 LOTE 2;="12";DERIV. ACUERDO MARCO;="01";INICIAL;CT12;Servicios Centralizados;0,00;1663,75;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001277;TRANSPORTE DE OBJETOS, DOCUMENT., VALIJA D.F.B. 2021-2025 (L;CONT220250200024948;AERO FERR NORTE. Ruta planificada Junio 2025 LOTE 2;="12";DERIV. ACUERDO MARCO;="01";INICIAL;CT12;Servicios Centralizados;0,00;1663,75;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001277;TRANSPORTE DE OBJETOS, DOCUMENT., VALIJA D.F.B. 2021-2025 (L;CONT220250200029151;AERO FERR Ruta planificada. Julio 2025;="12";DERIV. ACUERDO MARCO;="01";INICIAL;CT12;Servicios Centralizados;0,00;1663,75;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001277;TRANSPORTE DE OBJETOS, DOCUMENT., VALIJA D.F.B. 2021-2025 (L;CONT220250200031486;AERO FERR. Ruta planificada. Agosto 2025;="12";DERIV. ACUERDO MARCO;="01";INICIAL;CT12;Servicios Centralizados;0,00;1663,75;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001280;SERVICIO CENTRALIZADO DE TRANSPORTE - RUTA OCAs (2021/25);CONT220200200038957;(D) SERVICIO CENTRALIZADO DE TRANSPORTE - RUTA OCAs (2021/25;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;8808,80;0,00;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001280;SERVICIO CENTRALIZADO DE TRANSPORTE - RUTA OCAs (2021/25);CONT220250200006998;(OK) SERVICIO CENTRALIZADO DE TRANSPORTE - RUTA OCAs ENERO 2;="01";ABIERTO;="09";OTROS;CT12;Servicios Centralizados;0,00;734,07;
